Temperature (deg F),Relative Humidity (%),"Total Snow Depth ("")","Intermittent/Shot Snow ("")",,
47.33,89.9,16.46,-7999,0,0
53.8,69.82,10.02,-7999,0,0
55.02,65.32,12.31,-7999,0,0
56.62,54.77,11.77,-7999,0,0
54.93,58.87,12.12,-7999,0,0
51.53,69.53,11.63,-7999,0,0
46.93,78.51,14.04,-7999,0,0
43.38,87.8,13.33,-7999,0,0
40.57,90.9,12.63,-7999,0,0
39.1,94.8,5.907,-7999,0,0
37.27,100,12.59,-7999,0,0
36.16,99.9,13.14,-7999,0,0
37.26,98.6,7.927,-7999,0,0
38.24,99.9,5.241,-7999,0,0
39.1,99.9,5.241,-7999,0,0
38.49,99.9,9,-7999,0,0
38.49,97.4,8.87,-7999,0,0
38.85,97.2,12.09,-7999,0,0
39.21,95.9,17.21,-7999,0,0
40.55,92.7,17.8,-7999,0,0
42.98,86.7,16.51,-7999,0,0
43.71,79.17,12.9,-7999,0,0
44.31,81.1,17.62,-7999,0,0
46.76,79.7,17.9,-7999,0,0
46.28,79.84,9.17,-7999,0,0
46.53,81.2,12.64,-7999,0,0
44.2,91.4,11.01,-7999,0,0
42.76,91.3,12.23,-7999,0,0
40.18,97.2,8.53,-7999,0,0
39.7,95.4,8.76,-7999,0,0
39.1,96.6,12.64,-7999,0,0
38.49,99.8,15.11,-7999,0,0
37.26,99.8,12.09,-434.5,0.888519545,1
36.64,99.9,15.18,-7999,0,0
36.4,99.8,15.7,-7999,0,0
36.04,99.9,14.89,-7999,0,0
36.52,99.8,15.44,-7999,0,0
36.15,99.8,16.12,-7999,0,0
36.77,100,14.51,-7999,0,0
37.38,100,15.31,-7999,0,0
38.23,99.9,13.6,-7999,0,0
39.81,99.9,13.35,-7999,0,0
40.3,99.8,15.92,-7999,0,0
40.18,99.9,16.05,-7999,0,0
40.55,99.9,11.22,-7999,0,0
40.42,94.3,13.77,-7999,0,0
41.65,93.7,13.03,-7999,0,0
42.37,93.9,16.63,-7999,0,0
42.36,95.9,16.39,-7999,0,0
44.2,94.1,4.579,-7999,0,0
43.71,95.2,13.3,-7999,0,0
43.71,97.4,10.62,-7999,0,0
44.08,99.9,11.42,-7999,0,0
44.47,99.9,12.23,-7999,0,0
42.26,99.9,13.84,-371.9,0.895872486,1
42.39,99.9,14.84,-382.5,0.89462742,1
42.39,100,12.56,-7999,0,0
41.9,99.9,14.84,-7999,0,0
41.65,99.8,14.64,-7999,0,0
41.77,99.9,15.25,-7999,0,0
41.65,99.9,16.39,-7999,0,0
41.65,100,9.21,-7999,0,0
41.9,99.9,4.709,-7999,0,0
41.77,99.9,11.69,-7999,0,0
41.77,96.7,10.55,-7999,0,0
41.28,95.6,11.29,-7999,0,0
41.65,95.9,11.09,-7999,0,0
41.65,96.5,5.313,-7999,0,0
42.6,96.7,9.01,-7999,0,0
44.79,93.2,13.24,-7999,0,0
49.93,74.98,13.19,-7999,0,0
54.08,72.44,12.77,-7999,0,0
54.45,70.6,12.9,-7999,0,0
52.61,73.8,12.77,-7999,0,0
53.5,81.6,12.36,-7999,0,0
47.98,91.5,15.25,-7999,0,0
47.75,91.8,13.6,-7999,0,0
46.53,95.2,10.68,-7999,0,0
44.35,99.8,10.7,-7999,0,0
43.37,99.9,3.568,-7999,0,0
42.39,99.9,4.507,-362.8,0.896941364,1
42.39,99.9,5.044,-386.2,0.894192821,1
41.9,99.9,3.702,-390,0.893746476,1
42.02,99.9,3.836,-392.2,0.893488066,1
42.51,99.8,4.507,-388.7,0.893899173,1
42.39,100,3.903,-391.6,0.893558542,1
42.14,99.9,3.836,-388,0.893981394,1
42.02,99.9,3.433,-391,0.893629017,1
42.14,99.8,3.702,-401,0.892454426,1
42.39,99.9,7.729,-401.8,0.892360459,1
42.51,100,9.47,-398.9,0.89270109,1
42.26,99.8,9.88,-409.2,0.891491261,1
42.76,100,11.76,-418.7,0.890375399,1
42.87,99.9,11.91,-7999,0,0
43.59,99.9,11.76,-7999,0,0
44.2,99.9,16.12,-7999,0,0
43.96,98.5,12.09,-7999,0,0
44.1,99.9,10.84,-7999,0,0
42.63,99.9,17.26,-7999,0,0
41.77,99.8,11.22,-7999,0,0
40.06,99.9,12.69,-7999,0,0
39.21,99.9,17.08,-411.1,0.891268089,1
38.36,99.8,13.03,-360.7,0.897188029,1
37.38,99.8,12.09,-382.8,0.894592182,1
37.5,99.8,13.3,-397.6,0.892853787,1
36.89,100,13.1,-423.1,0.889858579,1
36.52,99.8,13.1,-422.9,0.889882071,1
36.64,99.9,12.69,-426.7,0.889435726,1
36.89,99.9,13.3,-435.8,0.888366848,1
37.26,99.8,12.22,-7999,0,0
37.5,99.9,12.49,-437,0.888225897,1
37.63,99.8,12.09,-7999,0,0
37.5,99.8,14.24,-7999,0,0
37.38,99.9,12.76,-441.1,0.887744315,1
37.26,100,15.92,-7999,0,0
37.38,97,16.39,-7999,0,0
38.12,97,15.45,-7999,0,0
37.63,96.1,15.92,-7999,0,0
37.87,99.1,16.19,-7999,0,0
38.12,99.9,13.16,-7999,0,0
38.46,100,12.28,-7999,0,0
39.7,99.8,11.46,-7999,0,0
38.09,99.9,12.49,-7999,0,0
40.05,99.9,13.5,-7999,0,0
41.16,99.9,12.56,-7999,0,0
38.49,100,16.25,-7999,0,0
36.52,99.9,11.89,-7999,0,0
36.04,99.8,10.84,-405.9,0.891878876,1
34.21,99.9,15.04,-347.4,0.898750235,1
34.09,99.8,15.85,-383.6,0.894498215,1
33.11,99.9,15.51,-385.7,0.89425155,1
32.49,99.9,13.63,-378.2,0.895132494,1
32.61,99.9,15.78,-377.2,0.895249953,1
33.11,99.9,16.86,-365.4,0.896635971,1
32.86,99.9,17.39,-347.9,0.898691505,1
33.23,97.7,13.5,-361,0.897152791,1
33.84,97.2,17.26,-329.8,0.900817516,2
34.09,93.2,17.53,-378.1,0.89514424,1
35.07,99.8,15.66,-408.2,0.89160872,1
34.57,99.8,13.66,-427.9,0.889294775,1
36.03,99.9,13.03,-409.4,0.891467769,1
37.01,99.8,15.92,-7999,0,0
37.26,95.9,15.92,-7999,0,0
37.38,99.8,15.11,-7999,0,0
37.86,96.4,12.79,-7999,0,0
37.72,94.2,17.26,-7999,0,0
41.28,92.7,12.43,-7999,0,0
39.44,99.9,15.92,-7999,0,0
38.09,95.6,12.49,-7999,0,0
41.65,77.08,13.37,-7999,0,0
37.75,83.2,9.94,-7999,0,0
36.77,86.7,11.96,-7999,0,0
36.27,90.1,13.03,-7999,0,0
36.52,91.9,12.9,-7999,0,0
36.89,91,12.76,-7999,0,0
37.75,87.6,10.34,-7999,0,0
38.12,83.5,12.9,-7999,0,0
38.12,78.27,13.7,-7999,0,0
38.95,78.04,12.02,-7999,0,0
41.41,80.2,11.49,-7999,0,0
43.37,84.4,10.28,-7999,0,0
43.37,83.8,10.55,-7999,0,0
44.32,84.4,10.75,-7999,0,0
44.57,83.7,10.28,-7999,0,0
45.43,78.35,2.836,-7999,0,0
46.63,81.1,9.74,-7999,0,0
48.59,78.73,10.56,-7999,0,0
52.48,68.01,9.95,-7999,0,0
55.18,62.08,6.734,-7999,0,0
50.64,75.09,13.44,-7999,0,0
53.59,74.14,6.6,-7999,0,0
52.01,78.1,10.05,-7999,0,0
50.18,81.9,16.19,-7999,0,0
49.08,86.9,16.86,-7999,0,0
48.61,89.7,12.66,-7999,0,0
47.39,93.3,12.37,-7999,0,0
46.9,97,11.96,-7999,0,0
46.78,99.9,6.659,-7999,0,0
46.9,97.7,12.5,-7999,0,0
48.11,95.6,14.54,-7999,0,0
48.97,92,13.13,-7999,0,0
48.97,91.3,12.39,-7999,0,0
49.1,92,13.32,-7999,0,0
48.97,93,12.26,-7999,0,0
49.1,89.2,12.26,-7999,0,0
48.36,94,12.53,-7999,0,0
48.84,94.1,12.96,-7999,0,0
50.92,89.2,7.468,-7999,0,0
52.73,83.9,6.868,-7999,0,0
54.43,79.31,4.155,-7999,0,0
56.74,77.52,8.68,-7999,0,0
60.63,69.26,6.069,-7999,0,0
61.7,65.69,3.932,-7999,0,0
64.4,59.97,4.535,-7999,0,0
64.52,57.73,15.92,-7999,0,0
62.72,57.88,5.335,-7999,0,0
59.56,62.53,6.939,-7999,0,0
57.5,65.07,10.78,-7999,0,0
53.87,74.3,14.58,-7999,0,0
50.94,82.7,15.62,-7999,0,0
48.99,88.9,15.58,-7999,0,0
46.9,92.9,15.58,-7999,0,0
45.7,95.9,15.99,-7999,0,0
44.84,96,15.99,-7999,0,0
45.09,94.5,15.99,-7999,0,0
44.97,92.1,15.92,-7999,0,0
45.43,89.9,15.99,-7999,0,0
45.8,88.7,16.12,-7999,0,0
47.75,85.8,16.02,-7999,0,0
48.59,87.5,15.91,-7999,0,0
48.96,88.2,8.14,-7999,0,0
51.03,86.1,3.602,-7999,0,0
52.12,82.5,15.18,-7999,0,0
54.43,76.31,15.48,-7999,0,0
57.72,72.75,15.38,-7999,0,0
59.78,66.19,10.49,-7999,0,0
64.04,58.21,1.696,-7999,0,0
63.17,61.68,3.595,-7999,0,0
63.33,63.06,8.75,-7999,0,0
60.88,64.56,3.252,-7999,0,0
58.46,66.14,5.866,-7999,0,0
58,70.66,5.141,-7999,0,0
53.74,77.98,6.395,-7999,0,0
50.57,86.7,2.865,-7999,0,0
47.64,90.9,7.934,-7999,0,0
47.02,93.8,3.908,-7999,0,0
47.15,94.6,5.921,-7999,0,0
47.39,95.5,6.324,-7999,0,0
47.51,95.3,3.505,-7999,0,0
47.51,95.9,6.391,-7999,0,0
47.27,96.9,4.713,-7999,0,0
46.66,99.9,4.311,-7999,0,0
47.02,96.8,4.512,-7999,0,0
47.39,94.6,6.659,-7999,0,0
48.59,92.4,4.645,-7999,0,0
50.31,86.1,2.169,-7999,0,0
53.96,77.89,3.113,-7999,0,0
56.64,73.24,3.286,-7999,0,0
59.07,68.46,3.319,-7999,0,0
61.37,62.72,2.446,-7999,0,0
63.31,58.42,5.701,-7999,0,0
64.15,52.69,3.865,-7999,0,0
63.3,53.03,5.051,-7999,0,0
61.61,59.65,2.451,-7999,0,0
59.07,59.2,4.794,-7999,0,0
54.71,69.45,3.468,-7999,0,0
50.34,78.28,5.317,-7999,0,0
46.78,87.5,5.787,-7999,0,0
44.84,93.7,5.921,-7999,0,0
43.74,96.2,4.574,-7999,0,0
42.76,97.1,6.118,-7999,0,0
42.88,97.3,4.373,-7999,0,0
43.25,97.1,3.836,-7999,0,0
43.12,96.4,6.118,-7999,0,0
43.62,96.7,5.313,-7999,0,0
43.49,96.6,5.984,-7999,0,0
43.98,96.9,6.34,-7999,0,0
44.45,96.5,7.129,-7999,0,0
44.81,97,6.592,-7999,0,0
44.94,96.7,3.505,-7999,0,0
45.67,95.2,6.872,-7999,0,0
46.75,93.3,5.59,-7999,0,0
48.22,86.9,5.188,-7999,0,0
50.77,79.8,5.929,-7999,0,0
52.85,74.75,6.063,-7999,0,0
53.45,70.86,2.613,-7999,0,0
54.45,68.42,7.002,-7999,0,0
49.94,73.42,7.468,-7999,0,0
48.11,78.06,6.767,-7999,0,0
46.29,82.9,8.47,-7999,0,0
44.94,88.1,6.659,-7999,0,0
43.62,93.1,7.595,-7999,0,0
42.39,95,7.863,-7999,0,0
42.26,96.7,8.53,-7999,0,0
41.65,96,4.507,-7999,0,0
42.02,95.8,1.822,-7999,0,0
42.76,95.2,4.776,-7999,0,0
43,94.7,6.252,-7999,0,0
43.86,95.5,6.792,-7999,0,0
44.94,92.1,4.713,-7999,0,0
46.77,89.3,7.943,-7999,0,0
48.83,86,5.858,-7999,0,0
51.77,83.2,7.751,-7999,0,0
53.1,81.4,7.539,-7999,0,0
55.04,76.99,7.708,-7999,0,0
57.48,74.11,9.49,-7999,0,0
62.1,65.92,7.814,-7999,0,0
64.03,60.45,8.02,-7999,0,0
67.09,51.39,9.64,-7999,0,0
70.61,46.21,10.36,-7999,0,0
69.89,50.23,9.14,-7999,0,0
69.78,48.26,10.05,-7999,0,0
67.95,52.21,9.09,-7999,0,0
66.39,52.37,6.608,-7999,0,0
63,56.34,7.877,-7999,0,0
62.65,58.46,9.85,-7999,0,0
59.6,65.08,9.15,-7999,0,0
56.07,75.12,8.68,-7999,0,0
56.17,73.12,10.55,-7999,0,0
56.41,70.66,11.56,-7999,0,0
57.76,68.14,11.9,-7999,0,0
59.23,64.53,9.29,-7999,0,0
59.59,64.05,11.17,-7999,0,0
60.07,64.32,8.51,-7999,0,0
60.44,60.57,10.93,-7999,0,0
61.16,58.11,12.5,-7999,0,0
61.77,54.84,11.23,-7999,0,0
63.11,54.42,10.85,-7999,0,0
65.78,53.93,12.37,-7999,0,0
69.79,46.43,12.71,-7999,0,0
70.75,42.27,12.2,-7999,0,0
76.24,31.78,12.24,-7999,0,0
76.24,32.19,12.78,-7999,0,0
75.98,35.52,11.47,-7999,0,0
75.26,36.68,11.57,-7999,0,0
73.92,37.91,11.69,-7999,0,0
72.83,37.71,11.94,-7999,0,0
71.26,39.75,11.5,-7999,0,0
68.37,47.47,12.75,-7999,0,0
65.2,49.32,12.57,-7999,0,0
63.4,51.58,15.72,-7999,0,0
58.74,59.97,15.99,-7999,0,0
57.14,57.65,14.91,-7999,0,0
57.39,56.42,14.85,-7999,0,0
57.76,55.26,16.93,-7999,0,0
58.98,52.06,15.32,-7999,0,0
59.11,53.22,16.26,-7999,0,0
58.74,53.9,16.26,-7999,0,0
